Game Number,Move Number,Player,Move,Board,Comment
547,37,White,a3c2,"r . . . . . k .
. p . r n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
N . P P . . . P
P P . . . R P .
R . . . . . K .",
547,38,Black,a8d8,"r . . . . . k .
. p . r n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
. . P P . . . P
P P N . . R P .
R . . . . . K .",
547,39,White,a1e1,". . . r . . k .
. p . r n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
. . P P . . . P
P P N . . R P .
R . . . . . K .",
547,40,Black,d5e4,". . . r . . k .
. p . r n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
. . P P . . . P
P P N . . R P .
. . . . R . K .",
547,41,White,d3e4,". . . r . . k .
. p . r n . p p
. p p . . p . .
. . . . p P . .
. . . . p . . .
. . P P . . . P
P P N . . R P .
. . . . R . K .",
547,42,Black,e7c8,". . . r . . k .
. p . r n . p p
. p p . . p . .
. . . . p P . .
. . . . P . . .
. . P . . . . P
P P N . . R P .
. . . . R . K .","And this can be seen as the second ""reaction move"".  Because 17.c3 created weaknesses on a4 and c4, black prepares to bring his knight within reach of those squares."
547,43,White,f2e2,". . n r . . k .
. p . r . . p p
. p p . . p . .
. . . . p P . .
. . . . P . . .
. . P . . . . P
P P N . . R P .
. . . . R . K .",
547,44,Black,b6b5,". . n r . . k .
. p . r . . p p
. p p . . p . .
. . . . p P . .
. . . . P . . .
. . P . . . . P
P P N . R . P .
. . . . R . K .",
547,45,White,c2a1,". . n r . . k .
. p . r . . p p
. . p . . p . .
. p . . p P . .
. . . . P . . .
. . P . . . . P
P P N . R . P .
. . . . R . K .",
547,46,Black,c8b6,". . n r . . k .
. p . r . . p p
. . p . . p . .
. p . . p P . .
. . . . P . . .
. . P . . . . P
P P . . R . P .
N . . . R . K .",
547,47,White,a1b3,". . . r . . k .
. p . r . . p p
. n p . . p . .
. p . . p P . .
. . . . P . . .
. . P . . . . P
P P . . R . P .
N . . . R . K .",
547,48,Black,b6a4,". . . r . . k .
. p . r . . p p
. n p . . p . .
. p . . p P . .
. . . . P . . .
. N P . . . . P
P P . . R . P .
. . . . R . K .",
547,49,White,g1f2,". . . r . . k .
. p . r . . p p
. . p . . p . .
. p . . p P . .
n . . . P . . .
. N P . . . . P
P P . . R . P .
. . . . R . K .",
547,50,Black,c6c5,". . . r . . k .
. p . r . . p p
. . p . . p . .
. p . . p P . .
n . . . P . . .
. N P . . . . P
P P . . R K P .
. . . . R . . .",
547,51,White,e2c2,". . . r . . k .
. p . r . . p p
. . . . . p . .
. p p . p P . .
n . . . P . . .
. N P . . . . P
P P . . R K P .
. . . . R . . .",
547,52,Black,g7g6,". . . r . . k .
. p . r . . p p
. . . . . p . .
. p p . p P . .
n . . . P . . .
. N P . . . . P
P P R . . K P .
. . . . R . . .","Everything was going nicely on the queenside; black has a grip on the d-file and a very bothersome knight while white's pieces just look jumbled up, and suddenly Rubinstein makes a move on the side of the board we had forgotten all about.  It seemed he wasn't interested in playing out ...c4 Nc1 on the board yet since it gives white information before black is ready to strike.  Instead, it's time to calmly improve matters some more, waiting for white to make more concessions before black REACTS.  And ...g6 fxg6 does improve matters because now black can create a passer at any moment with ...f5."
547,53,White,f5g6,". . . r . . k .
. p . r . . . p
. . . . . p p .
. p p . p P . .
n . . . P . . .
. N P . . . . P
P P R . . K P .
. . . . R . . .",
547,54,Black,h7g6,". . . r . . k .
. p . r . . . p
. . . . . p P .
. p p . p . . .
n . . . P . . .
. N P . . . . P
P P R . . K P .
. . . . R . . .",
547,55,White,b3c1,". . . r . . k .
. p . r . . . .
. . . . . p p .
. p p . p . . .
n . . . P . . .
. N P . . . . P
P P R . . K P .
. . . . R . . .",
547,56,Black,c5c4,". . . r . . k .
. p . r . . . .
. . . . . p p .
. p p . p . . .
n . . . P . . .
. . P . . . . P
P P R . . K P .
. . N . R . . .",Now 29.b3 is met by 29...Nc5.
547,57,White,f2e3,". . . r . . k .
. p . r . . . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . . . . P
P P R . . K P .
. . N . R . . .",
547,58,Black,g8f7,". . . r . . k .
. p . r . . . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N . R . . .",
547,59,White,e1f1,". . . r . . . .
. p . r . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N . R . . .",
547,60,Black,d7d1,". . . r . . . .
. p . r . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N . . R . .","Rubinstein seems to remove all of white's good pieces, while maintaining just enough material to win.  Now white has no chances to double on f6."
547,61,White,f1d1,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N r . R . .",
547,62,Black,d8d1,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N R . . . .",
547,63,White,e3e2,". . . . . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N r . . . .",
547,64,Black,d1d8,". . . . . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . . . . P
P P R . K . P .
. . N r . . . .","Even now, the weaknesses of the queenside and the e4-square prevent white from challenging the d-file for several moves."
547,65,White,e2e3,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . . . . P
P P R . K . P .
. . N . . . . .",
547,66,Black,a4c5,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p . . p . . .
n . p . P . . .
. . P . K . . P
P P R . . . P .
. . N . . . . .",
547,67,White,b2b3,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p n . p . . .
. . p . P . . .
. . P . K . . P
P P R . . . P .
. . N . . . . .",
547,68,Black,f7e6,". . . r . . . .
. p . . . k . .
. . . . . p p .
. p n . p . . .
. . p . P . . .
. P P . K . . P
P . R . . . P .
. . N . . . . .",
547,69,White,b3c4,". . . r . . . .
. p . . . . . .
. . . . k p p .
. p n . p . . .
. . p . P . . .
. P P . K . . P
P . R . . . P .
. . N . . . . .",
547,70,Black,b5c4,". . . r . . . .
. p . . . . . .
. . . . k p p .
. p n . p . . .
. . P . P . . .
. . P . K . . P
P . R . . . P .
. . N . . . . .",
547,71,White,c2b2,". . . r . . . .
. p . . . . . .
. . . . k p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P . R . . . P .
. . N . . . . .","White goes for counterplay, but this also weakens his own defenses."
547,72,Black,d8d1,". . . r . . . .
. p . . . . . .
. . . . k p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P R . . . . P .
. . N . . . . .",
547,73,White,b2b6,". . . . . . . .
. p . . . . . .
. . . . k p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P R . . . . P .
. . N r . . . .",
547,74,Black,e6d7,". . . . . . . .
. p . . . . . .
. R . . k p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P . . . . . P .
. . N r . . . .",
547,75,White,c1e2,". . . . . . . .
. p . k . . . .
. R . . . p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P . . . . . P .
. . N r . . . .","The knight is clumsy on this square and no longer controls d3, so now white has to hope that his counterplay with the rook will come to something."
547,76,Black,d7c7,". . . . . . . .
. p . k . . . .
. R . . . p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P . . . N . P .
. . . r . . . .",An excellent tactical finnesse which forces the rook to give up ground.
547,77,White,b6b4,". . . . . . . .
. p k . . . . .
. R . . . p p .
. . n . p . . .
. . p . P . . .
. . P . K . . P
P . . . N . P .
. . . r . . . .",
547,78,Black,d1d3,". . . . . . . .
. p k . . . . .
. . . . . p p .
. . n . p . . .
. R p . P . . .
. . P . K . . P
P . . . N . P .
. . . r . . . .",
547,79,White,e3f2,". . . . . . . .
. p k . . . . .
. . . . . p p .
. . n . p . . .
. R p . P . . .
. . P r K . . P
P . . . N . P .
. . . . . . . .",
547,80,Black,c5e4,". . . . . . . .
. p k . . . . .
. . . . . p p .
. . n . p . . .
. R p . P . . .
. . P r . . . P
P . . . N K P .
. . . . . . . .",The first fruit finally falls.
547,81,White,f2e1,". . . . . . . .
. p k . . . . .
. . . . . p p .
. . . . p . . .
. R p . n . . .
. . P r . . . P
P . . . N K P .
. . . . . . . .",
547,82,Black,e4d6,". . . . . . . .
. p k . . . . .
. . . . . p p .
. . . . p . . .
. R p . n . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,83,White,b4a4,". . . . . . . .
. p k . . . . .
. . . n . p p .
. . . . p . . .
. R p . . . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,84,Black,c7c6,". . . . . . . .
. p k . . . . .
. . . n . p p .
. . . . p . . .
R . p . . . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,85,White,a4a8,". . . . . . . .
. p . . . . . .
. . k n . p p .
. . . . p . . .
R . p . . . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,86,Black,c6d5,"R . . . . . . .
. p . . . . . .
. . k n . p p .
. . . . p . . .
. . p . . . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,87,White,h3h4,"R . . . . . . .
. p . . . . . .
. . . n . p p .
. . . k p . . .
. . p . . . . .
. . P r . . . P
P . . . N . P .
. . . . K . . .",
547,88,Black,d6f5,"R . . . . . . .
. p . . . . . .
. . . n . p p .
. . . k p . . .
. . p . . . . P
. . P r . . . .
P . . . N . P .
. . . . K . . .",
547,89,White,a8f8,"R . . . . . . .
. p . . . . . .
. . . . . p p .
. . . k p n . .
. . p . . . . P
. . P r . . . .
P . . . N . P .
. . . . K . . .",
547,90,Black,f5e3,". . . . . R . .
. p . . . . . .
. . . . . p p .
. . . k p n . .
. . p . . . . P
. . P r . . . .
P . . . N . P .
. . . . K . . .",
547,91,White,f8g8,". . . . . R . .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . P
. . P r n . . .
P . . . N . P .
. . . . K . . .",
547,92,Black,e3g2,". . . . . . R .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . P
. . P r n . . .
P . . . N . P .
. . . . K . . .",
547,93,White,e1f2,". . . . . . R .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . P
. . P r . . . .
P . . . N . n .
. . . . K . . .",
547,94,Black,g2h4,". . . . . . R .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . P
. . P r . . . .
P . . . N K n .
. . . . . . . .",
547,95,White,g8d8,". . . . . . R .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . n
. . P r . . . .
P . . . N K . .
. . . . . . . .",
547,96,Black,d5e4,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . k p . . .
. . p . . . . n
. . P r . . . .
P . . . N K . .
. . . . . . . .",
547,97,White,e2g3,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . k . . n
. . P r . . . .
P . . . N K . .
. . . . . . . .",
547,98,Black,e4f4,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . k . . n
. . P r . . N .
P . . . . K . .
. . . . . . . .",
547,99,White,g3e2,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . . k . n
. . P r . . N .
P . . . . K . .
. . . . . . . .",
547,100,Black,f4g4,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . . k . n
. . P r . . . .
P . . . N K . .
. . . . . . . .",
547,101,White,d8c8,". . . R . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . . . k n
. . P r . . . .
P . . . N K . .
. . . . . . . .",
547,102,Black,d3f3,". . R . . . . .
. p . . . . . .
. . . . . p p .
. . . . p . . .
. . p . . . k n
. . P r . . . .
P . . . N K . .
. . . . . . . .","White is quite clearly lost, but a couple of variations are required to conclude that 51...Rf3+ was actually the most precise finish.  This was a tremendous game by black in every phase."
548,1,White,e2e4,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R",
548,2,Black,c7c5,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
548,3,White,g1f3,"r n b q k b n r
p p . p p p p p
. . . . . . . .
. . p . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
548,4,Black,b8c6,"r n b q k b n r
p p . p p p p p
. . . . . . . .
. . p . . . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R",
548,5,White,d2d4,"r . b q k b n r
p p . p p p p p
. . n . . . . .
. . p . . . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R",
548,6,Black,c5d4,"r . b q k b n r
p p . p p p p p
. . n . . . . .
. . p . . . . .
. . . P P . . .
. . . . . N . .
P P P . . P P P
R N B Q K B . R",
548,7,White,f3d4,"r . b q k b n r
p p . p p p p p
. . n . . . . .
. . . . . . . .
. . . p P . . .
. . . . . N . .
P P P . . P P P
R N B Q K B . R",
548,8,Black,g8f6,"r . b q k b n r
p p . p p p p p
. . n . . . . .
. . . . . . . .
. . . N P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B . R",
548,9,White,b1c3,"r . b q k b . r
p p . p p p p p
. . n . . n . .
. . . . . . . .
. . . N P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B . R",
548,10,Black,e7e5,"r . b q k b . r
p p . p p p p p
. . n . . n . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
548,11,White,d4b5,"r . b q k b . r
p p . p . p p p
. . n . . n . .
. . . . p . . .
. . . N P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
548,12,Black,d7d6,"r . b q k b . r
p p . p . p p p
. . n . . n . .
. N . . p . . .
. . . . P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
548,13,White,c1g5,"r . b q k b . r
p p . . . p p p
. . n p . n . .
. N . . p . . .
. . . . P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
548,14,Black,a7a6,"r . b q k b . r
p p . . . p p p
. . n p . n . .
. N . . p . B .
. . . . P . . .
. . N . . . . .
P P P . . P P P
R . . Q K B . R",
548,15,White,b5a3,"r . b q k b . r
. p . . . p p p
p . n p . n . .
. N . . p . B .
. . . . P . . .
. . N . . . . .
P P P . . P P P
R . . Q K B . R",
548,16,Black,b7b5,"r . b q k b . r
. p . . . p p p
p . n p . n . .
. . . . p . B .
. . . . P . . .
N . N . . . . .
P P P . . P P P
R . . Q K B . R",
548,17,White,c3d5,"r . b q k b . r
. . . . . p p p
p . n p . n . .
. p . . p . B .
. . . . P . . .
N . N . . . . .
P P P . . P P P
R . . Q K B . R",
548,18,Black,f8e7,"r . b q k b . r
. . . . . p p p
p . n p . n . .
. p . N p . B .
. . . . P . . .
N . . . . . . .
P P P . . P P P
R . . Q K B . R",
548,19,White,g5f6,"r . b q k . . r
. . . . b p p p
p . n p . n . .
. p . N p . B .
. . . . P . . .
N . . . . . . .
P P P . . P P P
R . . Q K B . R",
548,20,Black,e7f6,"r . b q k . . r
. . . . b p p p
p . n p . B . .
. p . N p . . .
. . . . P . . .
N . . . . . . .
P P P . . P P P
R . . Q K B . R",
548,21,White,c2c3,"r . b q k . . r
. . . . . p p p
p . n p . b . .
. p . N p . . .
. . . . P . . .
N . . . . . . .
P P P . . P P P
R . . Q K B . R",
548,22,Black,c6e7,"r . b q k . . r
. . . . . p p p
p . n p . b . .
. p . N p . . .
. . . . P . . .
N . P . . . . .
P P . . . P P P
R . . Q K B . R","I have to admit that I'm not well-versed in the theory of this variation with 9.Nd5 instead of 9.Bxf6, but I know enough that this move causes me to sit up and pay attention. The idea of the 9.Nd5 line, as I understand it, is that black cannot get away with challenging the knight this easily. Presumably the kingside weaknesses are too much if black is also without his dark-squared bishop. But black says: ""show me""."
548,23,White,d5f6,"r . b q k . . r
. . . . n p p p
p . . p . b . .
. p . N p . . .
. . . . P . . .
N . P . . . . .
P P . . . P P P
R . . Q K B . R",
548,24,Black,g7f6,"r . b q k . . r
. . . . n p p p
p . . p . N . .
. p . . p . . .
. . . . P . . .
N . P . . . . .
P P . . . P P P
R . . Q K B . R",
548,25,White,f1d3,"r . b q k . . r
. . . . n p . p
p . . p . p . .
. p . . p . . .
. . . . P . . .
N . P . . . . .
P P . . . P P P
R . . Q K B . R","The bishop often stays put for a long time in these lines, so this isn't an obvious case of ""finish development, get castled"",... especially if you see how white continues! Regarding development of the bishop to d3 in general - it is meant to be prophylactic, I think, against ...d5 and ...f5, but white has to show some care in that the bishop can find itself misplaced if black gets an opportunity to play ...f5 as a sac and then start rolling the center."
548,26,Black,c8b7,"r . b q k . . r
. . . . n p . p
p . . p . p . .
. p . . p . . .
. . . . P . . .
N . P B . . . .
P P . . . P P P
R . . Q K . . R",
548,27,White,d1e2,"r . . q k . . r
. b . . n p . p
p . . p . p . .
. p . . p . . .
. . . . P . . .
N . P B . . . .
P P . . . P P P
R . . Q K . . R","Keeping his castling options open, but soon he will have to choose and he will certainly go kingside..."
548,28,Black,d6d5,"r . . q k . . r
. b . . n p . p
p . . p . p . .
. p . . p . . .
. . . . P . . .
N . P B . . . .
P P . . Q P P P
R . . . K . . R",
548,29,White,e1c1,"r . . q k . . r
. b . . n p . p
p . . . . p . .
. p . p p . . .
. . . . P . . .
N . P B . . . .
P P . . Q P P P
R . . . K . . R","Well I'll be damned! Actually, looking over this game a second time around, this seems very logical. If you read my notes to last week's game, you might even agree that this is a ""reaction"" move agaist 14...d5, the possibility of which white has cleverly kept open, but, but... the Na3 is supposed to go to the center, white is supposed to play a4 to activate the a1-rook, etc. Patterns can be useful, but they can be limiting as well. Apparently Nisipeanu is less susceptible to being limited by patterns than I am."
548,30,Black,d8c7,"r . . q k . . r
. b . . n p . p
p . . . . p . .
. p . p p . . .
. . . . P . . .
N . P B . . . .
P P . . Q P P P
. . K R . . . R",
548,31,White,a3c2,"r . . . k . . r
. b q . n p . p
p . . . . p . .
. p . p p . . .
. . . . P . . .
N . P B . . . .
P P . . Q P P P
. . K R . . . R",
548,32,Black,e8c8,"r . . . k . . r
. b q . n p . p
p . . . . p . .
. p . p p . . .
. . . . P . . .
. . P B . . . .
P P N . Q P P P
. . K R . . . R",
548,33,White,e4d5,". . k r . . . r
. b q . n p . p
p . . . . p . .
. p . p p . . .
. . . . P . . .
. . P B . . . .
P P N . Q P P P
. . K R . . . R","Opening the center and preparing some exchanges. In general, white's advantage can be expected to grow as more pieces are exchanged, because his pawn structure is better. One possible modification to note, however, is that if white keeps the knights on the board, this may prove useful to tickle the weak a6 and c6 squares around black's king."
548,34,Black,c8b8,". . k r . . . r
. b q . n p . p
p . . . . p . .
. p . P p . . .
. . . . . . . .
. . P B . . . .
P P N . Q P P P
. . K R . . . R",
548,35,White,d3e4,". k . r . . . r
. b q . n p . p
p . . . . p . .
. p . P p . . .
. . . . . . . .
. . P B . . . .
P P N . Q P P P
. . K R . . . R",
548,36,Black,f6f5,". k . r . . . r
. b q . n p . p
p . . . . p . .
. p . P p . . .
. . . . B . . .
. . P . . . . .
P P N . Q P P P
. . K R . . . R",
548,37,White,d5d6,". k . r . . . r
. b q . n p . p
p . . . . . . .
. p . P p p . .
. . . . B . . .
. . P . . . . .
P P N . Q P P P
. . K R . . . R",
548,38,Black,d8d6,". k . r . . . r
. b q . n p . p
p . . P . . . .
. p . . p p . .
. . . . B . . .
. . P . . . . .
P P N . Q P P P
. . K R . . . R",
548,39,White,e4b7,". k . . . . . r
. b q . n p . p
p . . r . . . .
. p . . p p . .
. . . . B . . .
. . P . . . . .
P P N . Q P P P
. . K R . . . R",
548,40,Black,b8b7,". k . . . . . r
. B q . n p . p
p . . r . . . .
. p . . p p . .
. . . . . . . .
. . P . . . . .
P P N . Q P P P
. . K R . . . R",
